Network	Predator_name	Prey_name
Local	Notothenia coriiceps	Callophyllis atrosanguinea 
Local	Notothenia coriiceps	Curdiea racovitzae
Local	Notothenia coriiceps	Georgiella confluens 
Local	Notothenia coriiceps	Gigartina skottsbergii
Local	Notothenia coriiceps	Iridaea cordata
Local	Notothenia coriiceps	Neuroglossum delesseriae
Local	Notothenia coriiceps	Palmaria decipiens
Local	Notothenia coriiceps	Pantoneura plocamioides 
Local	Notothenia coriiceps	Picconiella plumosa 
Local	Notothenia coriiceps	Plocamium cartilagineum
Local	Notothenia coriiceps	Pyropia plocamiestris 
Local	Notothenia coriiceps	Trematocarpus antarcticus
Local	Notothenia coriiceps	Adenocystis utricularis
Local	Notothenia coriiceps	Ascoseira mirabilis 
Local	Notothenia coriiceps	Desmarestia antarctica
Local	Notothenia coriiceps	Desmarestia menziesii
Local	Notothenia coriiceps	Phaeurus antarcticus 
Local	Notothenia coriiceps	Lambia antarctica 
Local	Notothenia coriiceps	Monostroma hariotii
Local	Notothenia coriiceps	Urospora penicilliformis
Local	Notothenia coriiceps	Aged detritus
Local	Notothenia coriiceps	Nereidae 
Local	Notothenia coriiceps	Margarella antarctica
Local	Notothenia coriiceps	Doris kerguelenensis
Local	Notothenia coriiceps	Eatoniella sp.
Local	Notothenia coriiceps	Nacella concinna
Local	Notothenia coriiceps	Dacrydyum sp.
Local	Notothenia coriiceps	Laternula elliptica
Local	Notothenia coriiceps	Neobuccinum eatoni
Local	Notothenia coriiceps	Euphausia superba
Local	Notothenia coriiceps	Paradexamine sp.
Local	Notothenia coriiceps	Eurymera monticulosa
Local	Notothenia coriiceps	Pontogeneiella sp.
Local	Notothenia coriiceps	Gondogeneia antarctica
Local	Notothenia coriiceps	Hyperiidea
Local	Notothenia coriiceps	Bovallia gigantea
Local	Notothenia coriiceps	Cheirimedon femoratus
Local	Notothenia coriiceps	Waldeckia obesa
Local	Notothenia coriiceps	Hippo-Orcho
Local	Notothenia coriiceps	Serolis sp.
Local	Notothenia coriiceps	Glyptonotus antarcticus
Local	Notothenia coriiceps	Hemiarthrum setulosum
Local	Notothenia coriiceps	Ophionotus victoriae
Local	Notothenia coriiceps	Squids
Local	Notothenia coriiceps	Copepoda
Local	Notothenia coriiceps	Ascidiacea
Local	Notothenia coriiceps	Octopoda
Local	Notothenia coriiceps	Salpa sp.
Local	Notothenia rossii	Palmaria decipiens
Local	Notothenia rossii	Aged detritus
Local	Notothenia rossii	Nereidae 
Local	Notothenia rossii	Doris kerguelenensis
Local	Notothenia rossii	Euphausia superba
Local	Notothenia rossii	Hyperiidea
Local	Notothenia rossii	Squids
Local	Notothenia rossii	Octopoda
Local	Lepidonotothen nudifrons	Euphausia superba
Local	Lepidonotothen nudifrons	Pariphimedia integricauda
Local	Lepidonotothen nudifrons	Cheirimedon femoratus
Local	Lepidonotothen nudifrons	Gitanopsis antarctica
Local	Lepidonotothen nudifrons	Prostebbingia gracilis
Local	Lepidonotothen nudifrons	Waldeckia obesa
Local	Lepidonotothen nudifrons	Margarella antarctica
Local	Trematomus newnesi	Doris kerguelenensis
Local	Trematomus newnesi	Eatoniella sp.
Local	Trematomus newnesi	Nacella concinna
Local	Trematomus newnesi	Neobuccinum eatoni
Local	Trematomus newnesi	Euphausia superba
Local	Trematomus newnesi	Gondogeneia antarctica
Local	Trematomus newnesi	Hyperiidea
Local	Trematomus newnesi	Bovallia gigantea
Local	Trematomus newnesi	Salpa sp.
Local	Trematomus newnesi	Nereidae 
Local	Trematomus bernacchii	Margarella antarctica
Local	Trematomus bernacchii	Doris kerguelenensis
Local	Trematomus bernacchii	Eatoniella sp.
Local	Trematomus bernacchii	Nacella concinna
Local	Trematomus bernacchii	Neobuccinum eatoni
Local	Trematomus bernacchii	Glyptonotus antarcticus
Local	Trematomus bernacchii	Nereidae 
Local	Harpagifer antarcticus 	Nereidae 
Local	Harpagifer antarcticus 	Margarella antarctica
Local	Harpagifer antarcticus 	Doris kerguelenensis
Local	Harpagifer antarcticus 	Eatoniella sp.
Local	Harpagifer antarcticus 	Nacella concinna
Local	Harpagifer antarcticus 	Neobuccinum eatoni
Local	Harpagifer antarcticus 	Euphausia superba
Local	Harpagifer antarcticus 	Paradexamine sp.
Local	Harpagifer antarcticus 	Eurymera monticulosa
Local	Harpagifer antarcticus 	Pontogeneiella sp.
Local	Harpagifer antarcticus 	Gondogeneia antarctica
Local	Parachaenichthys charcoti	Euphausia superba
Local	Chaenocephalus aceratus 	Ophionotus victoriae
Local	Chaenocephalus aceratus 	Octopoda
Local	Chaenocephalus aceratus 	Mysida
Local	Chaenocephalus aceratus 	Salpa sp.
Local	Protomyctophum sp.	Georgiella confluens 
Local	Nereidae	Gigartina skottsbergii
Local	Nereidae	Iridaea cordata
Local	Nereidae	Desmarestia menziesii
Local	Nereidae	Geminocarpus geminatus
Local	Nereidae	Phaeurus antarcticus 
Local	Nereidae	Haliclonidae
Local	Margarella antarctica	Stylo-Myca
Local	Margarella antarctica	Rosella sp.
Local	Margarella antarctica	Dendrilla antarctica
Local	Margarella antarctica	Palmaria decipiens
Local	Doris kerguelenensis	Bryozoa
Local	Doris kerguelenensis	Palmaria decipiens
Local	Doris kerguelenensis	Nereidae 
Local	Doris kerguelenensis	Haliclonidae
Local	Doris kerguelenensis	Stylo-Myca
Local	Doris kerguelenensis	Rosella sp.
Local	Doris kerguelenensis	Dendrilla antarctica
Local	Eatoniella sp.	Epiphytic diatoms
Local	Eatoniella sp.	Benthic diatoms
Local	Eatoniella sp.	Fresh detritus
Local	Nacella concinna	Ascoseira mirabilis 
Local	Nacella concinna	Ulothrix sp.
Local	Nacella concinna	Epiphytic diatoms
Local	Nacella concinna	Benthic diatoms
Local	Laevilacunaria antarctica	Curdiea racovitzae
Local	Laevilacunaria antarctica	Georgiella confluens 
Local	Laevilacunaria antarctica	Gigartina skottsbergii
Local	Laevilacunaria antarctica	Iridaea cordata
Local	Laevilacunaria antarctica	Palmaria decipiens
Local	Laevilacunaria antarctica	Plocamium cartilagineum
Local	Laevilacunaria antarctica	Adenocystis utricularis
Local	Laevilacunaria antarctica	Desmarestia menziesii
Local	Laevilacunaria antarctica	Monostroma hariotii
Local	Dacrydyum sp.	Phytoplankton
Local	Dacrydyum sp.	Zooplankton
Local	Laternula elliptica	Phytoplankton
Local	Laternula elliptica	Aged detritus
Local	Laternula elliptica	Zooplankton
Local	Neobuccinum eatoni	Laternula elliptica
Local	Neobuccinum eatoni	Necromass
Local	Euphausia superba	Phytoplankton
Local	Euphausia superba	Zooplankton
Local	Paradexamine sp.	Fresh detritus
Local	Paradexamine sp.	Necromass
Local	Eurymera monticulosa	Palmaria decipiens
Local	Eurymera monticulosa	Epiphytic diatoms
Local	Eurymera monticulosa	Benthic diatoms
Local	Eurymera monticulosa	Fresh detritus
Local	Pontogeneiella sp.	Palmaria decipiens
Local	Pontogeneiella sp.	Epiphytic diatoms
Local	Pontogeneiella sp.	Benthic diatoms
Local	Gondogeneia antarctica	Gigartina skottsbergii
Local	Gondogeneia antarctica	Iridaea cordata
Local	Gondogeneia antarctica	Myriogramme manginii
Local	Gondogeneia antarctica	Palmaria decipiens
Local	Gondogeneia antarctica	Plocamium cartilagineum
Local	Gondogeneia antarctica	Adenocystis utricularis
Local	Gondogeneia antarctica	Desmarestia anceps
Local	Gondogeneia antarctica	Desmarestia antarctica
Local	Gondogeneia antarctica	Desmarestia menziesii
Local	Gondogeneia antarctica	Geminocarpus geminatus
Local	Gondogeneia antarctica	Phaeurus antarcticus 
Local	Gondogeneia antarctica	Monostroma hariotii
Local	Gondogeneia antarctica	Epiphytic diatoms
Local	Gondogeneia antarctica	Benthic diatoms
Local	Hyperiidea	Euphausia superba
Local	Hyperiidea	Copepoda
