from	to
Hyperiidea	Trematomus newnesi
Hyperiidea	Notothenia rossii
Hyperiidea	Notothenia coriiceps
Oligochaeta	Salpa sp.
Hippomedon kergueleni	Ophionotus victoriae
Hippomedon kergueleni	Notothenia coriiceps
Leptonychotes weddelli	Orcinus orca
Lobodon carcinophaga	Orcinus orca
Ihlea racovitzai	Balaenoptera physalus
Ihlea racovitzai	Balaenoptera musculus
Ihlea racovitzai	Racovitzia glacialis
Ihlea racovitzai	Prionodraco evansii
Ihlea racovitzai	Pogonophryne marmorata
Ihlea racovitzai	Balaenoptera acutorostrata
Ihlea racovitzai	Trematomus eulepidotus
Ihlea racovitzai	Gymnoscopelus opisthopterus
Ihlea racovitzai	Gymnodraco acuticeps
Ihlea racovitzai	Gymnoscopelus braueri
Salpa gerlachei	Balaenoptera physalus
Salpa gerlachei	Balaenoptera musculus
Salpa gerlachei	Racovitzia glacialis
Salpa gerlachei	Prionodraco evansii
Salpa gerlachei	Pogonophryne marmorata
Salpa gerlachei	Balaenoptera acutorostrata
Salpa gerlachei	Trematomus eulepidotus
Salpa gerlachei	Gymnoscopelus opisthopterus
Salpa gerlachei	Gymnodraco acuticeps
Salpa gerlachei	Gymnoscopelus braueri
Pseudosagitta maxima	Racovitzia glacialis
Pseudosagitta maxima	Prionodraco evansii
Pseudosagitta maxima	Pogonophryne marmorata
Pseudosagitta maxima	Trematomus eulepidotus
Pseudosagitta maxima	Gymnoscopelus nicholsi
Pseudosagitta maxima	Gymnoscopelus opisthopterus
Pseudosagitta maxima	Protomyctophum bolini
Pseudosagitta maxima	Gymnodraco acuticeps
Pseudosagitta maxima	Gymnoscopelus braueri
Maxmuelleria faex	Trematomus bernacchii
Hamingia	Trematomus bernacchii
Echiurus antarcticus	Trematomus bernacchii
Alomasoma belyaevi	Trematomus bernacchii
Golfingia margaritacea margaritacea	Trematomus bernacchii
Golfingia anderssoni	Trematomus bernacchii
Golfingia ohlini	Trematomus bernacchii
Golfingia mawsoni	Trematomus bernacchii
Golfingia nordenskojoeldi	Trematomus bernacchii
Phascolion strombi	Trematomus bernacchii
Gonatus antarcticus	Orcinus orca
Gonatus antarcticus	Tursiops truncatus
Gonatus antarcticus	Lagenorhynchus cruciger
Gonatus antarcticus	Physeter macrocephalus
Gonatus antarcticus	Balaenoptera physalus
Gonatus antarcticus	Balaenoptera musculus
Gonatus antarcticus	Procellaria aequinoctialis
Gonatus antarcticus	Aptenodytes forsteri
Gonatus antarcticus	Pachyptila desolata
Gonatus antarcticus	Macronectes halli
Gonatus antarcticus	Macronectes giganteus
Gonatus antarcticus	Leptonychotes weddelli
Gonatus antarcticus	Lobodon carcinophaga
Gonatus antarcticus	Macrourus holotrachys
Gonatus antarcticus	Martialia hyadesi
Gonatus antarcticus	Moroteuthis ingens
Gonatus antarcticus	Ommatophoca rossii
Gonatus antarcticus	Mesonychoteuthis hamiltoni
Gonatus antarcticus	Hydrurga leptonyx
Gonatus antarcticus	Dissostichus mawsoni
Gonatus antarcticus	Mirounga leonina
Gonatus antarcticus	Halobaena caerulea
Gonatus antarcticus	Thalassoica antarctica
Gonatus antarcticus	Daption capense
Gonatus antarcticus	Fulmarus glacialoides
Kondakovia longimana	Orcinus orca
Kondakovia longimana	Tursiops truncatus
Kondakovia longimana	Lagenorhynchus cruciger
Kondakovia longimana	Physeter macrocephalus
Kondakovia longimana	Balaenoptera physalus
Kondakovia longimana	Balaenoptera musculus
Kondakovia longimana	Procellaria aequinoctialis
Kondakovia longimana	Aptenodytes forsteri
Kondakovia longimana	Pachyptila desolata
Kondakovia longimana	Macronectes halli
Kondakovia longimana	Macronectes giganteus
Kondakovia longimana	Leptonychotes weddelli
Kondakovia longimana	Lobodon carcinophaga
Kondakovia longimana	Macrourus holotrachys
Kondakovia longimana	Moroteuthis ingens
Kondakovia longimana	Ommatophoca rossii
Kondakovia longimana	Mesonychoteuthis hamiltoni
Kondakovia longimana	Hydrurga leptonyx
Kondakovia longimana	Pygoscelis adeliae
Kondakovia longimana	Dissostichus mawsoni
Kondakovia longimana	Mirounga leonina
Galiteuthis glacialis	Orcinus orca
Galiteuthis glacialis	Aphrodroma brevirostris
Galiteuthis glacialis	Tursiops truncatus
Galiteuthis glacialis	Lagenorhynchus cruciger
Galiteuthis glacialis	Physeter macrocephalus
Galiteuthis glacialis	Balaenoptera physalus
Galiteuthis glacialis	Balaenoptera musculus
Galiteuthis glacialis	Procellaria aequinoctialis
Galiteuthis glacialis	Aptenodytes forsteri
Galiteuthis glacialis	Pachyptila desolata
Galiteuthis glacialis	Macronectes halli
Galiteuthis glacialis	Macronectes giganteus
Galiteuthis glacialis	Leptonychotes weddelli
Galiteuthis glacialis	Lobodon carcinophaga
Galiteuthis glacialis	Macrourus holotrachys
Galiteuthis glacialis	Moroteuthis ingens
Galiteuthis glacialis	Ommatophoca rossii
Galiteuthis glacialis	Mesonychoteuthis hamiltoni
Galiteuthis glacialis	Hydrurga leptonyx
Galiteuthis glacialis	Dissostichus mawsoni
Galiteuthis glacialis	Mirounga leonina
Galiteuthis glacialis	Halobaena caerulea
Galiteuthis glacialis	Pagodroma nivea
Galiteuthis glacialis	Thalassoica antarctica
Galiteuthis glacialis	Daption capense
Galiteuthis glacialis	Fulmarus glacialoides
Alluroteuthis antarcticus	Orcinus orca
Alluroteuthis antarcticus	Tursiops truncatus
Alluroteuthis antarcticus	Lagenorhynchus cruciger
