from	to
Callophyllis atrosanguinea	Notothenia coriiceps
Curdiea racovitzae	Notothenia coriiceps
Georgiella confluens	Notothenia coriiceps
Gigartina skottsbergii	Notothenia coriiceps
Iridaea cordata	Notothenia coriiceps
Neuroglossum delesseriae	Notothenia coriiceps
Palmaria decipiens	Notothenia coriiceps
Pantoneura plocamioides	Notothenia coriiceps
Picconiella plumosa	Notothenia coriiceps
Plocamium cartilagineum	Notothenia coriiceps
Pyropia plocamiestris	Notothenia coriiceps
Trematocarpus antarcticus	Notothenia coriiceps
Adenocystis utricularis	Notothenia coriiceps
Ascoseira mirabilis	Notothenia coriiceps
Desmarestia antarctica	Notothenia coriiceps
Desmarestia menziesii	Notothenia coriiceps
Phaeurus antarcticus	Notothenia coriiceps
Lambia antarctica	Notothenia coriiceps
Monostroma hariotii	Notothenia coriiceps
Urospora penicilliformis	Notothenia coriiceps
Detritus	Notothenia coriiceps
Nereidae	Notothenia coriiceps
Margarella antarctica	Notothenia coriiceps
Doris kerguelenensis	Notothenia coriiceps
Eatoniella sp.	Notothenia coriiceps
Nacella concinna	Notothenia coriiceps
Dacrydyum sp.	Notothenia coriiceps
Laternula elliptica	Notothenia coriiceps
Neobuccinum eatoni	Notothenia coriiceps
Euphausia superba	Notothenia coriiceps
Paradexamine sp.	Notothenia coriiceps
Eurymera monticulosa	Notothenia coriiceps
Pontogeneiella sp.	Notothenia coriiceps
Gondogeneia antarctica	Notothenia coriiceps
Hyperiidea	Notothenia coriiceps
Bovallia gigantea	Notothenia coriiceps
Cheirimedon femoratus	Notothenia coriiceps
Waldeckia obesa	Notothenia coriiceps
Hippomedon kergueleni	Notothenia coriiceps
Pseudorchomene plebs	Notothenia coriiceps
Serolis sp.	Notothenia coriiceps
Glyptonotus antarcticus	Notothenia coriiceps
Hemiarthrum setulosum	Notothenia coriiceps
Ophionotus victoriae	Notothenia coriiceps
Squids	Notothenia coriiceps
Copepoda	Notothenia coriiceps
Ascidiacea	Notothenia coriiceps
Octopoda	Notothenia coriiceps
Salpa sp.	Notothenia coriiceps
Palmaria decipiens	Notothenia rossii
Detritus	Notothenia rossii
Nereidae	Notothenia rossii
Doris kerguelenensis	Notothenia rossii
Euphausia superba	Notothenia rossii
Hyperiidea	Notothenia rossii
Squids	Notothenia rossii
Octopoda	Notothenia rossii
Euphausia superba	Lepidonotothen nudifrons
Pariphimedia integricauda	Lepidonotothen nudifrons
Cheirimedon femoratus	Lepidonotothen nudifrons
Gitanopsis antarctica	Lepidonotothen nudifrons
Prostebbingia gracilis	Lepidonotothen nudifrons
Waldeckia obesa	Lepidonotothen nudifrons
Margarella antarctica	Lepidonotothen nudifrons
Doris kerguelenensis	Trematomus newnesi
Eatoniella sp.	Trematomus newnesi
Nacella concinna	Trematomus newnesi
Neobuccinum eatoni	Trematomus newnesi
Euphausia superba	Trematomus newnesi
Gondogeneia antarctica	Trematomus newnesi
Hyperiidea	Trematomus newnesi
Bovallia gigantea	Trematomus newnesi
Salpa sp.	Trematomus newnesi
Nereidae	Trematomus newnesi
Margarella antarctica	Trematomus bernacchii
Doris kerguelenensis	Trematomus bernacchii
Eatoniella sp.	Trematomus bernacchii
Nacella concinna	Trematomus bernacchii
Neobuccinum eatoni	Trematomus bernacchii
Glyptonotus antarcticus	Trematomus bernacchii
Nereidae	Trematomus bernacchii
Nereidae	Harpagifer antarcticus
Margarella antarctica	Harpagifer antarcticus
Doris kerguelenensis	Harpagifer antarcticus
Eatoniella sp.	Harpagifer antarcticus
Nacella concinna	Harpagifer antarcticus
Neobuccinum eatoni	Harpagifer antarcticus
Euphausia superba	Harpagifer antarcticus
Paradexamine sp.	Harpagifer antarcticus
Eurymera monticulosa	Harpagifer antarcticus
Pontogeneiella sp.	Harpagifer antarcticus
Gondogeneia antarctica	Harpagifer antarcticus
Euphausia superba	Parachaenichthys charcoti
Ophionotus victoriae	Chaenocephalus aceratus
Octopoda	Chaenocephalus aceratus
Mysida	Chaenocephalus aceratus
Salpa sp.	Chaenocephalus aceratus
Georgiella confluens	Protomyctophum sp.
Gigartina skottsbergii	Nereidae
Iridaea cordata	Nereidae
Desmarestia menziesii	Nereidae
Geminocarpus geminatus	Nereidae
Phaeurus antarcticus	Nereidae
Haliclona anonyma	Nereidae
Mycale acerata	Margarella antarctica
Stylocordyla borealis	Margarella antarctica
Rosella sp.	Margarella antarctica
Dendrilla antarctica	Margarella antarctica
Palmaria decipiens	Margarella antarctica
Bryozoa	Doris kerguelenensis
Palmaria decipiens	Doris kerguelenensis
Nereidae	Doris kerguelenensis
Haliclona anonyma	Doris kerguelenensis
Mycale acerata	Doris kerguelenensis
Stylocordyla borealis	Doris kerguelenensis
Rosella sp.	Doris kerguelenensis
Dendrilla antarctica	Doris kerguelenensis
Epiphytic diatoms	Eatoniella sp.
Benthic diatoms	Eatoniella sp.
Detritus	Eatoniella sp.
Ascoseira mirabilis	Nacella concinna
Ulothrix sp.	Nacella concinna
Epiphytic diatoms	Nacella concinna
Benthic diatoms	Nacella concinna
Curdiea racovitzae	Laevilacunaria antarctica
Georgiella confluens	Laevilacunaria antarctica
Gigartina skottsbergii	Laevilacunaria antarctica
Iridaea cordata	Laevilacunaria antarctica
Palmaria decipiens	Laevilacunaria antarctica
Plocamium cartilagineum	Laevilacunaria antarctica
Adenocystis utricularis	Laevilacunaria antarctica
Desmarestia menziesii	Laevilacunaria antarctica
Monostroma hariotii	Laevilacunaria antarctica
Phytoplankton	Dacrydyum sp.
Zooplankton	Dacrydyum sp.
Phytoplankton	Laternula elliptica
Detritus	Laternula elliptica
Zooplankton	Laternula elliptica
Laternula elliptica	Neobuccinum eatoni
Necromass	Neobuccinum eatoni
Phytoplankton	Euphausia superba
Zooplankton	Euphausia superba
Detritus	Paradexamine sp.
Necromass	Paradexamine sp.
Palmaria decipiens	Eurymera monticulosa
Epiphytic diatoms	Eurymera monticulosa
Benthic diatoms	Eurymera monticulosa
Detritus	Eurymera monticulosa
Palmaria decipiens	Pontogeneiella sp.
Epiphytic diatoms	Pontogeneiella sp.
Benthic diatoms	Pontogeneiella sp.
Gigartina skottsbergii	Gondogeneia antarctica
Iridaea cordata	Gondogeneia antarctica
Myriogramme manginii	Gondogeneia antarctica
Palmaria decipiens	Gondogeneia antarctica
Plocamium cartilagineum	Gondogeneia antarctica
Adenocystis utricularis	Gondogeneia antarctica
Desmarestia anceps	Gondogeneia antarctica
Desmarestia antarctica	Gondogeneia antarctica
Desmarestia menziesii	Gondogeneia antarctica
Geminocarpus geminatus	Gondogeneia antarctica
Phaeurus antarcticus	Gondogeneia antarctica
Monostroma hariotii	Gondogeneia antarctica
Epiphytic diatoms	Gondogeneia antarctica
Benthic diatoms	Gondogeneia antarctica
Euphausia superba	Hyperiidea
Copepoda	Hyperiidea
Zooplankton	Hyperiidea
Necromass	Pariphimedia integricauda
Paradexamine sp.	Bovallia gigantea
Eurymera monticulosa	Bovallia gigantea
Pontogeneiella sp.	Bovallia gigantea
Gitanopsis antarctica	Bovallia gigantea
Prostebbingia gracilis	Bovallia gigantea
Waldeckia obesa	Bovallia gigantea
Gondogeneia antarctica	Bovallia gigantea
Detritus	Cheirimedon femoratus
Detritus	Gitanopsis antarctica
Necromass	Gitanopsis antarctica
Gigartina skottsbergii	Prostebbingia gracilis
Iridaea cordata	Prostebbingia gracilis
Myriogramme manginii	Prostebbingia gracilis
Palmaria decipiens	Prostebbingia gracilis
Plocamium cartilagineum	Prostebbingia gracilis
Desmarestia anceps	Prostebbingia gracilis
Desmarestia antarctica	Prostebbingia gracilis
Desmarestia menziesii	Prostebbingia gracilis
Epiphytic diatoms	Prostebbingia gracilis
Benthic diatoms	Prostebbingia gracilis
Necromass	Waldeckia obesa
Necromass	Hippomedon kergueleni
Necromass	Pseudorchomene plebs
Palmaria decipiens	Oradarea bidentata
Necromass	Serolis sp.
Nereidae	Glyptonotus antarcticus
Bovallia gigantea	Glyptonotus antarcticus
Ascidiacea	Glyptonotus antarcticus
Necromass	Glyptonotus antarcticus
Curdiea racovitzae	Plakarthrium puncattissimum
Ascoseira mirabilis	Plakarthrium puncattissimum
Epiphytic diatoms	Plakarthrium puncattissimum
Benthic diatoms	Plakarthrium puncattissimum
Detritus	Plakarthrium puncattissimum
Epiphytic diatoms	Hemiarthrum setulosum
Benthic diatoms	Hemiarthrum setulosum
Benthic diatoms	Ophionotus victoriae
Detritus	Ophionotus victoriae
Nereidae	Ophionotus victoriae
Laternula elliptica	Ophionotus victoriae
Neobuccinum eatoni	Ophionotus victoriae
Euphausia superba	Ophionotus victoriae
Paradexamine sp.	Ophionotus victoriae
Eurymera monticulosa	Ophionotus victoriae
Pontogeneiella sp.	Ophionotus victoriae
Gondogeneia antarctica	Ophionotus victoriae
Pariphimedia integricauda	Ophionotus victoriae
Cheirimedon femoratus	Ophionotus victoriae
Gitanopsis antarctica	Ophionotus victoriae
Prostebbingia gracilis	Ophionotus victoriae
Waldeckia obesa	Ophionotus victoriae
Hippomedon kergueleni	Ophionotus victoriae
Pseudorchomene plebs	Ophionotus victoriae
Oradarea bidentata	Ophionotus victoriae
Squids	Ophionotus victoriae
Copepoda	Ophionotus victoriae
Ascidiacea	Ophionotus victoriae
Hydrozoa	Ophionotus victoriae
Bryozoa	Ophionotus victoriae
Necromass	Ophionotus victoriae
Haliclona anonyma	Ophionotus victoriae
Mycale acerata	Ophionotus victoriae
Stylocordyla borealis	Ophionotus victoriae
Rosella sp.	Ophionotus victoriae
Benthic diatoms	Odontaster validus
Nereidae	Odontaster validus
Doris kerguelenensis	Odontaster validus
Neobuccinum eatoni	Odontaster validus
Detritus	Odontaster validus
Haliclona anonyma	Odontaster validus
Mycale acerata	Odontaster validus
Stylocordyla borealis	Odontaster validus
Laternula elliptica	Odontaster validus
Rosella sp.	Odontaster validus
Neobuccinum eatoni	Diplasterias brucei
Neobuccinum eatoni	Odontaster meridionalis
Haliclona anonyma	Odontaster meridionalis
Mycale acerata	Odontaster meridionalis
Stylocordyla borealis	Odontaster meridionalis
Rosella sp.	Odontaster meridionalis
Neobuccinum eatoni	Perknaster fuscus antarcticus
Mycale acerata	Perknaster fuscus antarcticus
Stylocordyla borealis	Perknaster fuscus antarcticus
Mycale acerata	Perknaster aurorae
Stylocordyla borealis	Perknaster aurorae
Paradexamine sp.	Sterechinus neumayeri
Eurymera monticulosa	Sterechinus neumayeri
Pontogeneiella sp.	Sterechinus neumayeri
Gondogeneia antarctica	Sterechinus neumayeri
Bovallia gigantea	Sterechinus neumayeri
Prostebbingia gracilis	Sterechinus neumayeri
Waldeckia obesa	Sterechinus neumayeri
Oradarea bidentata	Sterechinus neumayeri
Hydrozoa	Sterechinus neumayeri
Bryozoa	Sterechinus neumayeri
Haliclona anonyma	Sterechinus neumayeri
Mycale acerata	Sterechinus neumayeri
Stylocordyla borealis	Sterechinus neumayeri
Rosella sp.	Sterechinus neumayeri
Euphausia superba	Squids
Phytoplankton	Copepoda
Zooplankton	Copepoda
Phytoplankton	Ascidiacea
Zooplankton	Ascidiacea
Glyptonotus antarcticus	Octopoda
Phytoplankton	Oligochaeta
Zooplankton	Oligochaeta
Phytoplankton	Hydrozoa
Zooplankton	Hydrozoa
Phytoplankton	Bryozoa
Zooplankton	Bryozoa
Benthic diatoms	Priapulida
Nereidae	Priapulida
Nacella concinna	Parborlasia corrugatus
Bovallia gigantea	Parborlasia corrugatus
Serolis sp.	Parborlasia corrugatus
Glyptonotus antarcticus	Parborlasia corrugatus
Necromass	Parborlasia corrugatus
Haliclona anonyma	Parborlasia corrugatus
Mycale acerata	Parborlasia corrugatus
Stylocordyla borealis	Parborlasia corrugatus
Rosella sp.	Parborlasia corrugatus
Phytoplankton	Salpa sp.
Detritus	Salpa sp.
Nereidae	Salpa sp.
Oligochaeta	Salpa sp.
Zooplankton	Salpa sp.
Phytoplankton	Mysida
Zooplankton	Mysida
Phytoplankton	Zooplankton
Benthic diatoms	Haliclona anonyma
Phytoplankton	Haliclona anonyma
Detritus	Haliclona anonyma
Zooplankton	Haliclona anonyma
Benthic diatoms	Mycale acerata
Phytoplankton	Mycale acerata
Detritus	Mycale acerata
Zooplankton	Mycale acerata
Benthic diatoms	Stylocordyla borealis
Phytoplankton	Stylocordyla borealis
Detritus	Stylocordyla borealis
Zooplankton	Stylocordyla borealis
Benthic diatoms	Rosella sp.
Phytoplankton	Rosella sp.
Detritus	Rosella sp.
Zooplankton	Rosella sp.
Benthic diatoms	Dendrilla antarctica
Phytoplankton	Dendrilla antarctica
Detritus	Dendrilla antarctica
Zooplankton	Dendrilla antarctica
Odontaster validus	Urticinopsis antarctica
Odontaster meridionalis	Urticinopsis antarctica
Perknaster fuscus antarcticus	Urticinopsis antarctica
Sterechinus neumayeri	Urticinopsis antarctica
Phytoplankton	Malacobelemnon daytoni
Zooplankton	Malacobelemnon daytoni
