from	to
Amphidinium hadai	Bodo saltans
Gyrodinium lachryama	Bodo saltans
Amphidinium hadai	Amphidinium hadai
Gyrodinium lachryama	Amphidinium hadai
Amphidinium hadai	Gyrodinium lachryama
Gyrodinium lachryama	Gyrodinium lachryama
Actinocyclus actinochilus	Parvicorbucula socialis
Actinocyclus spiritus	Parvicorbucula socialis
Actinocyclus utricularis	Parvicorbucula socialis
Azpeitia tabularis	Parvicorbucula socialis
Banquisia belgicae	Parvicorbucula socialis
Chaetoceros bulbosum	Parvicorbucula socialis
Chaetoceros concavicornis	Parvicorbucula socialis
Chaetoceros criophilum	Parvicorbucula socialis
Chaetoceros dichaeta	Parvicorbucula socialis
Chaetoceros flexuosum	Parvicorbucula socialis
Chaetoceros neglectum	Parvicorbucula socialis
Chaetoceros pelagicus	Parvicorbucula socialis
Chaetoceros socialis	Parvicorbucula socialis
Corethron criophilum	Parvicorbucula socialis
Coscinodiscus oculoides	Parvicorbucula socialis
Cylindrotheca closterium	Parvicorbucula socialis
Eucampia antarctica	Parvicorbucula socialis
Fragilariopsis curta	Parvicorbucula socialis
Fragilariopsis cylindrus	Parvicorbucula socialis
Fragilariopsis kerguelensis	Parvicorbucula socialis
Fragilariopsis linearis	Parvicorbucula socialis
Fragilariopsis nana	Parvicorbucula socialis
Fragilariopsis obliquecostata	Parvicorbucula socialis
Fragilariopsis pseudonana	Parvicorbucula socialis
Fragilariopsis rhombica	Parvicorbucula socialis
Fragilariopsis ritscheri	Parvicorbucula socialis
Fragilariopsis separanda	Parvicorbucula socialis
Fragilariopsis sublinearis	Parvicorbucula socialis
Fragilariopsis vanheurckii	Parvicorbucula socialis
Manguinea fusiformis	Parvicorbucula socialis
Manguinea rigida	Parvicorbucula socialis
Navicula glaciei	Parvicorbucula socialis
Navicula schefterae	Parvicorbucula socialis
Nitzschia kerguelensis	Parvicorbucula socialis
Nitzschia lecointei	Parvicorbucula socialis
Nitzschia neglecta	Parvicorbucula socialis
Odontella weissflogii	Parvicorbucula socialis
Porosira glacialis	Parvicorbucula socialis
Porosira pseudodenticulata	Parvicorbucula socialis
Proboscia alata	Parvicorbucula socialis
Proboscia inermi	Parvicorbucula socialis
Proboscia truncata	Parvicorbucula socialis
Pseudo-Nitzschia heimii	Parvicorbucula socialis
Pseudo-Nitzschia liniola	Parvicorbucula socialis
Pseudo-Nitzschia prolongatoides	Parvicorbucula socialis
Pseudo-Nitzschia subcurvata	Parvicorbucula socialis
Rhizosolenia antennata	Parvicorbucula socialis
Stellarima microtrias	Parvicorbucula socialis
Thalassiosira antarctica	Parvicorbucula socialis
Thalassiosira australis	Parvicorbucula socialis
Thalassiosira frenguelliopsis	Parvicorbucula socialis
Thalassiosira gracilis	Parvicorbucula socialis
Thalassiosira gracilis expecta	Parvicorbucula socialis
Thalassiosira gravida	Parvicorbucula socialis
Thalassiosira lentiginosa	Parvicorbucula socialis
Thalassiosira ritscheri	Parvicorbucula socialis
Thalassiosira trifulta	Parvicorbucula socialis
Thalassiosira tumida	Parvicorbucula socialis
Trichotoxon reinboldii	Parvicorbucula socialis
Phytodetritus	Parvicorbucula socialis
Sediment	Parvicorbucula socialis
Actinocyclus actinochilus	Cassidulinoides parkerianus
Actinocyclus spiritus	Cassidulinoides parkerianus
Actinocyclus utricularis	Cassidulinoides parkerianus
Azpeitia tabularis	Cassidulinoides parkerianus
Banquisia belgicae	Cassidulinoides parkerianus
Chaetoceros bulbosum	Cassidulinoides parkerianus
Chaetoceros concavicornis	Cassidulinoides parkerianus
Chaetoceros criophilum	Cassidulinoides parkerianus
Chaetoceros dichaeta	Cassidulinoides parkerianus
Chaetoceros flexuosum	Cassidulinoides parkerianus
Chaetoceros neglectum	Cassidulinoides parkerianus
Chaetoceros pelagicus	Cassidulinoides parkerianus
Chaetoceros socialis	Cassidulinoides parkerianus
Corethron criophilum	Cassidulinoides parkerianus
Coscinodiscus oculoides	Cassidulinoides parkerianus
Cylindrotheca closterium	Cassidulinoides parkerianus
Eucampia antarctica	Cassidulinoides parkerianus
Fragilariopsis curta	Cassidulinoides parkerianus
Fragilariopsis cylindrus	Cassidulinoides parkerianus
Fragilariopsis kerguelensis	Cassidulinoides parkerianus
Fragilariopsis linearis	Cassidulinoides parkerianus
Fragilariopsis nana	Cassidulinoides parkerianus
Fragilariopsis obliquecostata	Cassidulinoides parkerianus
Fragilariopsis pseudonana	Cassidulinoides parkerianus
Fragilariopsis rhombica	Cassidulinoides parkerianus
Fragilariopsis ritscheri	Cassidulinoides parkerianus
Fragilariopsis separanda	Cassidulinoides parkerianus
Fragilariopsis sublinearis	Cassidulinoides parkerianus
Fragilariopsis vanheurckii	Cassidulinoides parkerianus
Manguinea fusiformis	Cassidulinoides parkerianus
Manguinea rigida	Cassidulinoides parkerianus
Navicula glaciei	Cassidulinoides parkerianus
Navicula schefterae	Cassidulinoides parkerianus
Nitzschia kerguelensis	Cassidulinoides parkerianus
Nitzschia lecointei	Cassidulinoides parkerianus
Nitzschia neglecta	Cassidulinoides parkerianus
Odontella weissflogii	Cassidulinoides parkerianus
Porosira glacialis	Cassidulinoides parkerianus
Porosira pseudodenticulata	Cassidulinoides parkerianus
Proboscia alata	Cassidulinoides parkerianus
Proboscia inermi	Cassidulinoides parkerianus
Proboscia truncata	Cassidulinoides parkerianus
Pseudo-Nitzschia heimii	Cassidulinoides parkerianus
Pseudo-Nitzschia liniola	Cassidulinoides parkerianus
Pseudo-Nitzschia prolongatoides	Cassidulinoides parkerianus
Pseudo-Nitzschia subcurvata	Cassidulinoides parkerianus
Rhizosolenia antennata	Cassidulinoides parkerianus
Stellarima microtrias	Cassidulinoides parkerianus
Thalassiosira antarctica	Cassidulinoides parkerianus
Thalassiosira australis	Cassidulinoides parkerianus
Thalassiosira frenguelliopsis	Cassidulinoides parkerianus
Thalassiosira gracilis	Cassidulinoides parkerianus
Thalassiosira gracilis expecta	Cassidulinoides parkerianus
Thalassiosira gravida	Cassidulinoides parkerianus
Thalassiosira lentiginosa	Cassidulinoides parkerianus
Thalassiosira ritscheri	Cassidulinoides parkerianus
Thalassiosira trifulta	Cassidulinoides parkerianus
Thalassiosira tumida	Cassidulinoides parkerianus
Trichotoxon reinboldii	Cassidulinoides parkerianus
Phytodetritus	Cassidulinoides parkerianus
Sediment	Cassidulinoides parkerianus
Actinocyclus actinochilus	Cibicides refulgens
Actinocyclus spiritus	Cibicides refulgens
Actinocyclus utricularis	Cibicides refulgens
Azpeitia tabularis	Cibicides refulgens
Banquisia belgicae	Cibicides refulgens
Chaetoceros bulbosum	Cibicides refulgens
