"ID" "Order" "Family" "Genus" "Species" "E1_t0" "E1_t44" "E1_t58" "E1_t77" "E1_t95" "E1_t113" "E1_t131" "E1_t148" "E1_t167" "E1_t186" "E1_t204" "E1_t227" "E1_t247" "E1_t267" "E1_t284" "E1_t360" "E1_t730" "E2_t0" "E2_t31" "E2_t51" "E2_t69" "E2_t86" "E2_t111" "E2_t128" "E2_t146" "E2_t164" "E2_t181" "E2_t199" "E2_t218" "E2_t238" "E2_t258" "E2_t276" "E2_t295" "E2_t371" "E2_t730" "E3_t0" "E3_t38" "E3_t52" "E3_t69" "E3_t89" "E3_t107" "E3_t125" "E3_t142" "E3_t159" "E3_t177" "E3_t197" "E3_t221" "E3_t241" "E3_t259" "E3_t277" "E3_t379" "E3_t730" "ST2_t0" "ST2_t21" "ST2_t40" "ST2_t59" "ST2_t77" "ST2_t94" "ST2_t113" "ST2_t134" "ST2_t149" "ST2_t171" "ST2_t191" "ST2_t211" "ST2_t231" "ST2_t250" "ST2_t322" "ST2_t730" "E7_t0" "E7_t22" "E7_t53" "E7_t77" "E7_t110" "E7_t145" "E7_t172" "E7_t200" "E7_t219" "E7_t239" "E7_t261" "E7_t278" "E7_t307" "E7_t338" "E7_t370" "E7_t404" "E7_t430" "E7_t542" "E9_t0" "E9_t24" "E9_t45" "E9_t62" "E9_t84" "E9_t101" "E9_t117" "E9_t136" "E9_t153" "E9_t171" "E9_t193" "E9_t210" "E9_t229" "E9_t247" "E9_t266" "E9_t364"
1 "Acarina" "Acaridae" "Rhizoglyphus" "callae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 1 1 1
2 "Acarina" "Acaridae" "Tyrophagus" "putrescentiae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "Acarina" "Ascidae" "Asca" "sp_" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 1 0 0 0 0 0 0 0 0 0 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 2 1
18 "Acarina" "Erythraeidae" "Sphaerolophus" "sp_" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20 "Acarina" "Galumnidae" "Galumna" "sp_" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 2 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
21 "Acarina" "Orbatulidae" "Scheloribates" "sp_" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 2 2 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 "Acarina" "Phytoseiidae" "Amblyseius" "sp_" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 2 1 0 0 1 0 0 0 0 0 1 1 1 1 1 1 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
26 "Acarina" "Tydeidae" "Triphytdeus" "sp_" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 "Acarina" "Veigaiidae" "Veigaia" "sp_" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 "Araneae" "Araneidae" "Argiope" "argentata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 0
